item_id,truck_type,year,make,model,category,sale_price_usd_including_buyer_premium,winning_bid_usd,buyer_premium_rate,sale_date_utc,bid_count,city,state,vin,mileage,engine_hours,engine,displacement,fuel_type,transmission,axles,suspension,brakes,gvwr,wheelbase,full_description,downloaded_image_count,available_image_count,image_paths,source,source_url
FB5018,box_truck,2002,GMC,W4500,Box Truck,10780.0,9800.0,0.1,2026-09-09,54,Collinsville,OK,4KDC4B1R02J803085,24234,,,5.7L,Gas,,Single,Spring,Hydraulic,"14,050 lbs",,"2002 GMC W4500 box truck
- Miles: 24,234 on odometer
- VIN: 4KDC4B1R02J803085
Engine- Displacement: 5.7L
- Cylinders: 8
- Fuel type: Gas
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 14,050 lbs
Interior- AC, Heat
Features- Bed- Box bed
- Mickey Truck Bodies VB14085
- Serial: 7609V02
- Length: 14' 6""
- Width: 96""
- Height: 91""
- E-track rail system
- Floor: Wood
- End gate lift
- Anthony Lift Gates

Tires- Size: 225/70R19.5
Oklahoma title
Title distribution may be delayed up to 30 days from verification of funds.",6,71,images/FB5018/FB5018.JPG|images/FB5018/FB5018N.JPG|images/FB5018/FB5018ZB.JPG|images/FB5018/FB5018ZP.JPG|images/FB5018/FB5018ZZD.JPG|images/FB5018/FB5018ZZR.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/FB5018
FK3570,box_truck,2009,Ford,E350,Box Truck,1485.0,1350.0,0.1,2026-09-09,9,Dodge center,MN,1FDWE35L09DA88369,225348,,Jump start required during on-site data collection,5.4L,Gas,,Single,Spring,Hydraulic,"12,500 lbs",,"2009 Ford E350 box truck
- Miles: 225,348 on odometer
- VIN: 1FDWE35L09DA88369
Engine- Displacement: 5.4L
- Cylinders: 8
- Fuel type: Gas
- HP: 255
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 12,500 lbs
Interior- AC, Heat
Features- Bed- Box bed
- Utilimaster
- Length: 15' 2""
- Width: 88""
- Height: 6' 11""
- Floor: Wood

Tires- Size: 225/75R16
Notes- Dash warning indicator: Check engine
- Jump start required during on-site data collection
- Rear drivers side tire damaged
Minnesota title
Title distribution may be delayed up to 30 days from verification of funds.",6,77,images/FK3570/FK3570.JPG|images/FK3570/FK3570O.JPG|images/FK3570/FK3570ZD.JPG|images/FK3570/FK3570ZT.JPG|images/FK3570/FK3570ZZI.JPG|images/FK3570/FK3570ZZX.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/FK3570
FB5009,box_truck,2002,Chevrolet,C6500,Box Truck,6160.0,5600.0,0.1,2026-09-09,35,Collinsville,OK,1GBJ7H1C52J503046,387540,,,7.2L,Diesel,,Single,Spring,Hydraulic,"25,920 lbs",,"2002 Chevrolet C6500 box truck
- Miles: 387,540 on odometer
- VIN: 1GBJ7H1C52J503046
Engine- Caterpillar 3126
- Serial: CKM28230
- Displacement: 7.2L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 25,920 lbs
Interior- AC, Heat
Features- Bed- Box bed
- Supreme Corp
- Length: 18' 4""
- Width: 96""
- Height: 96""
- E-track rail system
- Floor: Wood
- End gate lift
- Maxon

Tires- Size: 11R22.5
Oklahoma classic title
Title distribution may be delayed up to 30 days from verification of funds.",6,62,images/FB5009/FB5009.JPG|images/FB5009/FB5009L.JPG|images/FB5009/FB5009X.JPG|images/FB5009/FB5009ZK.JPG|images/FB5009/FB5009ZW.JPG|images/FB5009/FB5009ZZI.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/FB5009
EU0763,box_truck,2014,Chevrolet,Express,Box Truck,7590.0,6900.0,0.1,2026-09-09,27,Hempstead,TX,1GB3G2BG5E1174926,25218,,,6.0L,Gas,,Single,Spring,Hydraulic,"12,300 lbs",,"2014 Chevrolet Express box truck
- Miles: 25,218 on odometer
- VIN: 1GB3G2BG5E1174926
Engine- Displacement: 6.0L
- Cylinders: 8
- Fuel type: Gas
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
- GVWR: 12,300 lbs
Interior- AC, Heat
- Cruise control
Features- Bed- Box bed
- Spartan 075731
- Length: 12' 9""
- Width: 8'
- Height: 7' 8""
- Floor: Wood

Tires- Size: 225/75R16
Buyer responsible for all aspects of removal
Texas title
Seller is a Texas licensed motor vehicle dealer. The buyer may be required to pay sales tax and/or registration fees to the dealer prior to taking possession. Buyers may be required to provide identification to the licensed dealer to comply with state laws. Title will be assigned and distributed by the dealer. Please contact the seller for distribution questions.",6,85,images/EU0763/EU0763.JPG|images/EU0763/EU0763Q.JPG|images/EU0763/EU0763ZH.JPG|images/EU0763/EU0763ZX.JPG|images/EU0763/EU0763ZZO.JPG|images/EU0763/EU0763ZZZF.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/EU0763
ER1987,box_truck,2005,Ford,E450,Box Truck,3410.0,3100.0,0.1,2026-09-09,28,Pierre,SD,1FDXE45P35HA09910,66848,6614,,6.0L,Diesel,,Single,Spring,Hydraulic,,,"2005 Ford E450 box truck
- Miles: 66,848 on odometer
- Hours: 6,614 on meter
- VIN: 1FDXE45P35HA09910
Engine- Displacement: 6.0L
- Cylinders: 8
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
Interior- AC, Heat
- Cruise control
Features- Bed- Box bed
- Length: 14' 6""
- Width: 96""
- Height: 7' 3""
- E-track rail system
- Floor: Wood
- Roof AC unit
- Rear platform- Length: 90""
- Width: 96""

- Rear ramp- Length: 53""
- Width: 74""

Tires- Size: 225/75R16
Notes- Dash warning indicator: Airbag
- Possible fuel system issues
South Dakota title
Title distribution may be delayed up to 14 days from verification of funds.",6,95,images/ER1987/ER1987.JPG|images/ER1987/ER1987S.JPG|images/ER1987/ER1987ZL.JPG|images/ER1987/ER1987ZZD.JPG|images/ER1987/ER1987ZZW.JPG|images/ER1987/ER1987ZZZP.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/ER1987
FI0341,box_truck,2015,Freightliner,Business Class M2,Box Truck,4730.0,4300.0,0.1,2026-09-09,34,Tulsa,OK,3ALACWDT7FDGH9321,357869,,,6.7L,Diesel,,Single,Air,Air,"26,000 lbs",,"2015 Freightliner Business Class M2 box truck
- Miles: 357,869 on odometer
- VIN: 3ALACWDT7FDGH9321
Engine- Cummins ISB
- Serial: 58406578
- Displacement: 6.7L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Air
- Brakes: Air
- GVWR: 26,000 lbs
Interior- AC, Heat
- Heated mirrors
- Cruise control
Features- Bed- Box bed
- Morgan GVSR10326102FT
- Serial: MTX44937-001
- Length: 26' 6""
- Width: 102""
- Height: 107""
- E-track rail system
- Floor: Wood
- End gate lift
- Maxon
- Capacity: 2,500 lbs

Tires- Size: 295/75R22.5
Notes- Windshield chipped or cracked
- Engine issues, turbo may need replaced
- Unit must be towed or hauled
Oklahoma title
Title distribution may be delayed up to 14 days from verification of funds.",6,78,images/FI0341/FI0341.JPG|images/FI0341/FI0341O.JPG|images/FI0341/FI0341ZE.JPG|images/FI0341/FI0341ZT.JPG|images/FI0341/FI0341ZZJ.JPG|images/FI0341/FI0341ZZY.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/FI0341
FB4989,box_truck,2007,Chevrolet,C7000,Box Truck,4400.0,4000.0,0.1,2026-09-09,20,Collinsville,OK,1GBJ7C1C47F402822,73136,,,7.2L,Diesel,,Single,Spring,Hydraulic,,,"2007 Chevrolet C7000 box truck
- Miles: 73,136 on odometer
- VIN: 1GBJ7C1C47F402822
Engine- Caterpillar C7
- Serial: WAX50616
- Displacement: 7.2L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Hydraulic
Interior- AC, Heat
- Heated mirrors
- Cruise control
Features- Bed- Box bed
- Supreme Corp
- Serial: VX20078102 80920108
- Length: 20' 7""
- Width: 103""
- Height: 108""
- Floor: Aluminum

Tires- Size: 11R22.5
Oklahoma title
Title distribution may be delayed up to 30 days from verification of funds.",6,82,images/FB4989/FB4989.JPG|images/FB4989/FB4989P.JPG|images/FB4989/FB4989ZF.JPG|images/FB4989/FB4989ZW.JPG|images/FB4989/FB4989ZZM.JPG|images/FB4989/FB4989ZZZC.JPG,Purple Wave,https://www.purplewave.com/auction/260909/item/FB4989
YA3648,box_truck,2018,Hino,,Box Truck,9790.0,8900.0,0.1,2026-09-03,36,Arcadia,FL,5PVNJ8JV0J4S69606,416277,,Windshield chipped or cracked,7.6L,Diesel,,Single,Spring,Air,"25,950 lbs",,"2018 Hino box truck
- Miles: 416,277 on odometer
- VIN: 5PVNJ8JV0J4S69606
- Unit #: 54642546
Engine- Hino Motors
- Displacement: 7.6L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Automatic
Chassis- Axles: Single
- Suspension: Spring
- Brakes: Air
- GVWR: 25,950 lbs
Interior- AC, Heat
- Power windows
- Cruise control
Features- Bed- Box bed
- Smyrna BFV2601020102
- Serial: 029510
- Length: 26'
- Width: 102""
- Height: 102""
- E-track rail system
- Floor: Wood
- End gate lift
- Maxon GPTLR
- Capacity: 2,500 lbs

Tires- Front: 11R22.5
- Front: 295/75R22.5
- Rear: 11R22.5
- Rear: 295/75R22.5
Notes- Dash warning indicator: Check engine
- Windshield chipped or cracked
- Jump start required during on-site data collection
Repossessed item, stored at a Copart facility 
Please review REQUIRED REMOVAL INSTRUCTIONS
Lender owned. Item condition and history are unknown. No additional information is available.
Titles will be distributed after confirmation of payment and removal.
Florida title
Title distribution may be delayed up to 30 days from verification of funds.",6,69,images/YA3648/YA3648.JPG|images/YA3648/YA3648N.JPG|images/YA3648/YA3648ZA.JPG|images/YA3648/YA3648ZO.JPG|images/YA3648/YA3648ZZB.JPG|images/YA3648/YA3648ZZP.JPG,Purple Wave,https://www.purplewave.com/auction/260903/item/YA3648
YA2617,box_truck,2019,International,MA025,Box Truck,10780.0,9800.0,0.1,2026-09-03,40,Nampa,ID,1HTMMMMN2KH444880,277227,8612,Jump start required during on-site data collection,6.7L,Diesel,,Single,,Air,"33,000 lbs","272""","2019 International MA025 box truck
- Miles: 277,227 on odometer
- Hours: 8,612 on meter
- VIN: 1HTMMMMN2KH444880
- Unit #: YA2617
Engine- Cummins B6.7
- Displacement: 6.7L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Eaton Fuller
- Automatic
Chassis- Axles: Single
- Brakes: Air
- GVWR: 33,000 lbs
- Wheelbase: 272""
Interior- AC, Heat
- Backup camera
Features- Bed- Box bed
- Morgan GVSD10326102
- Serial: PM46099-002
- Length: 26'
- Width: 102""
- Height: 102""
- E-track rail system
- Floor: Wood
- Maxon

Tires- Size: 11R22.5
Notes- DPF Disconnected
- Dash warning indicator: Check engine
- Jump start required during on-site data collection
- Emissions system modified
Repossessed item, stored at a secured facility 
Please review REQUIRED REMOVAL INSTRUCTIONS
Lender owned. Item condition and history are unknown. No additional information is available.
Titles will be distributed after confirmation of payment and removal.
Ohio title
Title distribution may be delayed up to 30 days from verification of funds.",6,70,images/YA2617/YA2617.JPG|images/YA2617/YA2617N.JPG|images/YA2617/YA2617ZB.JPG|images/YA2617/YA2617ZO.JPG|images/YA2617/YA2617ZZC.JPG|images/YA2617/YA2617ZZQ.JPG,Purple Wave,https://www.purplewave.com/auction/260903/item/YA2617
YA2755,box_truck,2019,International,4300,Box Truck,3300.0,3000.0,0.1,2026-09-03,21,Brookhaven,NY,1HTMMMML9KH558115,416944,10839,Non-operational unit- Unit must be towed or hauled,6.7L,Diesel,,Single,Air,Air,"25,999 lbs","266""","2019 International 4300 box truck
- Miles: 416,944 on odometer
- Hours: 10,839 on meter
- VIN: 1HTMMMML9KH558115
- Unit #: 41882576
Engine- Cummins B 6.7
- Displacement: 6.7L
- Cylinders: 6
- Fuel type: Diesel
Transmission- Eaton Fuller
- Automatic
Chassis- Axles: Single
- Suspension: Air
- Brakes: Air
- GVWR: 25,999 lbs
- Wheelbase: 266""
Interior- AC, Heat
- Power windows, Power locks
- Cruise control
Features- Bed- Box bed
- Hercules
- Serial: 25537582V
- Length: 26'
- Width: 102""
- Height: 102""
- E-track rail system
- Floor: Wood
- End gate lift
- Anthony
- Capacity: 3,000 lbs

Tires- Size: 295/75R22.5
Notes- Non-operational engine
- Non-operational unit- Unit must be towed or hauled

Repossessed item, stored at a secured facility 
Please review REQUIRED REMOVAL INSTRUCTIONS
Lender owned. Item condition and history are unknown. No additional information is available.
Titles will be distributed after confirmation of payment and removal.
Indiana title
Title distribution may be delayed up to 30 days from verification of funds.",6,55,images/YA2755/YA2755.JPG|images/YA2755/YA2755K.JPG|images/YA2755/YA2755V.JPG|images/YA2755/YA2755ZF.JPG|images/YA2755/YA2755ZQ.JPG|images/YA2755/YA2755ZZB.JPG,Purple Wave,https://www.purplewave.com/auction/260903/item/YA2755
